Instance,Best,AvgCost,AvgTime
O10,26.832422177704316,26.832422177704313,0.079188236
O103,221.66238032830384,221.66238032830387,8.390765339800001
O105,231.54800732773762,231.5480073277376,8.4481703114
O125,259.7770876399967,259.7770876399967,15.7285068456
O127,269.66860497279725,269.6686049727973,13.606630222799998
O13,35.77708763999664,35.77708763999664,0.1152629364
O137,295.55449067096043,295.55449067096043,15.532962598799998
O145,322.88263172395483,325.14839711488634,198.5869958052
O16,38.832246175768276,38.832246175768276,0.19217717
O169,359.54965830608927,359.54965830608927,26.0412320792
O187,389.6668449534361,389.6668449534362,34.8487330006
O19,52.4397417653191,52.439741765319106,0.233878497
O209,461.6942759476658,461.69427594766574,43.3935962034
O21,51.77708763999662,51.77708763999662,0.28560060179999996
O249,519.5488931020055,519.5488931020054,67.1839519406
O25,64.87724426801208,64.87724426801208,0.40238227800000004
O273,589.6897188892624,589.6897188892619,79.40985099779999
O28,62.831894171896195,62.831894171896195,0.5293051604
O31,77.66449235153652,77.6644923515365,0.5741325986
O337,717.6899721981271,717.6899721981258,134.3451897346
O37,83.77708763999661,83.77708763999661,0.9963116364
O40,86.8315421680241,86.8315421680241,1.332914973
O41,101.9825130122522,101.98251301225218,1.1139518466
O49,101.29106938309344,101.29106938309343,1.6247178891999998
O52,110.83119016415199,110.83119016415199,2.0693961981999998
O53,115.7770876399966,115.77708763999661,1.949066651
O55,125.66378834379236,125.66378834379236,1.9489584556000001
O64,134.83430248639874,134.8343024863987,3.5253348368
O69,147.77708763999664,147.77708763999664,3.7275954920000003
O73,167.55283969260864,167.5528396926086,3.5783339583999996
O79,173.66308433604803,173.66308433604814,4.5487878774
O81,170.95372486006454,170.96266852300258,12.185528375799999
O85,179.77708763999667,179.77708763999667,6.0648931718
O94,194.83342247671857,194.83342247671857,9.0761923976
O10,26.832422177704316,26.832422177704313,0.08034036879999999
O103,221.66238032830384,221.66238032830387,8.287226763000001
O105,231.54800732773762,231.5480073277376,8.1853243186
O125,259.7770876399967,259.7770876399967,14.7960580004
O127,269.66860497279725,269.6686049727973,14.205137650800001
O13,35.77708763999664,35.77708763999664,0.1159008824
O137,295.55449067096043,295.55449067096043,15.3559496666
O145,322.88263172395483,325.14839711488634,198.7595824074
O16,38.832246175768276,38.832246175768276,0.18237530159999998
O169,359.54965830608927,359.54965830608927,25.177460464200003
O187,389.6668449534361,389.6668449534362,34.351756573799996
O19,52.4397417653191,52.439741765319106,0.20501893799999998
O209,461.6942759476658,461.69427594766574,42.7152253206
O21,51.77708763999662,51.77708763999662,0.2655789516
O249,519.5488931020055,519.5488931020054,64.7625285974
O25,64.87724426801208,64.87724426801208,0.5171248418000001
O273,589.6897188892624,589.6897188892619,77.7029879536
O28,62.831894171896195,62.831894171896195,0.6119096824
O31,77.66449235153652,77.6644923515365,0.6100337436
O337,717.6899721981271,717.6899721981258,135.1652670702
O37,83.77708763999661,83.77708763999661,0.8773805540000001
O40,86.8315421680241,86.8315421680241,1.1561033898
O41,101.9825130122522,101.98251301225218,1.0671183882000002
O49,101.29106938309344,101.29106938309343,1.5735845814
O52,110.83119016415199,110.83119016415199,2.1807188896
O53,115.7770876399966,115.77708763999661,2.1296097270000005
O55,125.66378834379236,125.66378834379236,1.9840131694
O64,134.83430248639874,134.8343024863987,3.571558623
O69,147.77708763999664,147.77708763999664,3.736314282
O73,167.55283969260864,167.5528396926086,3.8154028614000004
O79,173.66308433604803,173.66308433604814,4.607115068
O81,170.95372486006454,170.96266852300258,11.852394452599999
O85,179.77708763999667,179.77708763999667,6.1183869982
O94,194.83342247671857,194.83342247671857,9.6490994782
S10,19.983925359008108,19.98392535900811,0.0754140122
S103,246.76135128715222,246.7613512871523,8.872490853
S105,240.41863082230898,240.70496078939124,15.562379066
S125,283.3071324706602,283.3071324706602,15.1060666212
S127,306.63971915000553,306.6397191500056,15.1060369296
S13,26.645846688179446,26.64584668817945,0.1183018962
S137,333.5315087101802,333.54663530356976,27.754206688600004
S145,265.55806807921863,265.7728160503516,47.344195677
S16,35.41169170252425,35.411691702524244,0.20266681440000003
S169,408.49146428016604,408.4914642801659,36.715956993199995
S187,424.8351746993929,424.8504841844251,37.090992472
S19,38.17776917509249,38.177769175092486,0.21292802260000002
S209,430.2849174649649,436.4402417534337,193.7653535478
S21,47.216082365694106,47.216082365694106,0.2680592344
S249,598.5710004160632,598.5710004160633,81.3521667576
S25,49.718423704489915,49.718423704489915,0.3879846064
S273,620.6743153154916,626.2247667161712,255.70725973499998
S28,61.79558426151306,61.795584261513056,0.6207535134000001
S31,70.02486721455412,70.02486721455412,0.7516767326
